                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.87823,                  1.498,                0.60652,                  1.118,                0.92627,                0.88994,                0.93546,                0.76035,                0.92406,                0.88715,                0.92733,                0.68887,                0.76935,                 1.4611,                0.52448,                 1.0739,              0.0068815,              0.0068815,              0.0068815
                     65,                0.87851,                 1.4847,                0.60781,                 1.1178,                0.92931,                0.88704,                0.93526,                0.75984,                0.92443,                0.88238,                0.92632,                0.68402,                0.77222,                 1.4426,                0.53555,                 1.0711,               0.006832,               0.006832,               0.006832
                     66,                0.86758,                 1.4633,                0.59476,                 1.1101,                0.94323,                0.87797,                0.93499,                0.76462,                0.94388,                0.87841,                0.93367,                0.70019,                0.75966,                 1.4446,                0.51993,                 1.0659,              0.0067825,              0.0067825,              0.0067825
                     67,                0.85393,                 1.4601,                 0.5831,                 1.0981,                0.92936,                0.88495,                0.93407,                0.76104,                0.92638,                0.88211,                0.92913,                 0.6918,                 0.7723,                 1.4356,                0.51722,                 1.0717,               0.006733,               0.006733,               0.006733
                     68,                0.86147,                 1.4694,                0.59118,                 1.1056,                0.93051,                0.88628,                0.93102,                0.75987,                0.92536,                0.87823,                0.92392,                0.68776,                0.76158,                 1.4417,                0.52715,                  1.066,              0.0066835,              0.0066835,              0.0066835
                     69,                0.86019,                 1.4598,                0.59218,                 1.1062,                0.94155,                0.87487,                0.93274,                 0.7644,                0.94055,                0.87099,                0.92417,                0.69265,                0.75769,                 1.4138,                0.52022,                 1.0652,               0.006634,               0.006634,               0.006634
                     70,                0.85723,                  1.445,                0.58339,                 1.1018,                0.94032,                0.87992,                0.93206,                0.76902,                0.94063,                0.87771,                0.92715,                0.69809,                0.75273,                 1.4091,                0.51452,                  1.068,              0.0065845,              0.0065845,              0.0065845
                     71,                0.85269,                 1.4312,                0.58382,                  1.096,                0.94112,                0.88434,                0.93499,                0.76595,                0.93995,                0.88221,                0.92729,                0.69621,                 0.7504,                 1.4012,                 0.5147,                 1.0619,               0.006535,               0.006535,               0.006535
                     72,                0.85241,                 1.4358,                0.58096,                 1.1002,                0.93873,                0.88831,                0.93391,                0.76873,                0.93361,                0.88714,                0.92461,                0.69531,                0.74367,                 1.4009,                0.51025,                 1.0605,              0.0064855,              0.0064855,              0.0064855
                     73,                0.85359,                  1.436,                0.58235,                 1.0982,                0.93691,                 0.8831,                0.93369,                0.76934,                0.93417,                0.88051,                0.93003,                0.69723,                0.74224,                 1.3901,                0.51347,                  1.058,               0.006436,               0.006436,               0.006436
                     74,                0.83374,                  1.416,                0.56911,                 1.0885,                0.93576,                0.88909,                0.93651,                0.77516,                0.93416,                0.88769,                0.93529,                0.70224,                 0.7415,                 1.3858,                0.50194,                 1.0594,              0.0063865,              0.0063865,              0.0063865
                     75,                0.84044,                 1.4306,                0.56779,                 1.0932,                0.93453,                0.88204,                0.93389,                0.77471,                0.93242,                0.87875,                0.92639,                0.69891,                0.73361,                 1.3892,                0.50585,                 1.0536,               0.006337,               0.006337,               0.006337
